Designator,Mid X,Mid Y,Rotation,Layer
D1,26.19375,-81.915,90.0,bottom
D10,197.64375,-81.915,90.0,bottom
D11,216.69375,-81.915,90.0,bottom
D12,235.74375,-81.915,90.0,bottom
D13,254.79375,-81.915,90.0,bottom
D14,280.9875,-81.915,90.0,bottom
D15,33.3375,-100.965,90.0,bottom
D16,52.3875,-100.965,90.0,bottom
D17,73.81875,-100.965,90.0,bottom
D18,92.86875,-100.965,90.0,bottom
D19,111.91875,-100.965,90.0,bottom
D2,45.24375,-81.915,90.0,bottom
D20,130.96875,-100.965,90.0,bottom
D21,150.01875,-100.965,90.0,bottom
D22,169.06875,-100.965,90.0,bottom
D23,188.11875,-100.965,90.0,bottom
D24,207.16875,-100.965,90.0,bottom
D25,226.21875,-100.965,90.0,bottom
D26,245.26875,-100.965,90.0,bottom
D27,264.31875,-100.965,90.0,bottom
D28,288.13125,-100.965,90.0,bottom
D29,35.71875,-120.015,90.0,bottom
D3,64.29375,-81.915,90.0,bottom
D30,59.53125,-120.015,90.0,bottom
D31,78.58125,-120.015,90.0,bottom
D32,97.63125,-120.015,90.0,bottom
D33,116.68125,-120.015,90.0,bottom
D34,135.73125,-120.015,90.0,bottom
D35,154.78125,-120.015,90.0,bottom
D36,173.83125,-120.015,90.0,bottom
D37,192.88125,-120.015,90.0,bottom
D38,211.93125,-120.015,90.0,bottom
D39,230.98125,-120.015,90.0,bottom
D4,83.34375,-81.915,90.0,bottom
D40,250.03125,-120.015,90.0,bottom
D41,278.60625,-120.015,90.0,bottom
D42,35.71875,-139.065,90.0,bottom
D43,69.05625,-139.065,90.0,bottom
D44,88.10625,-139.065,90.0,bottom
D45,107.15625,-139.065,90.0,bottom
D46,126.20625,-139.065,90.0,bottom
D47,145.25625,-139.065,90.0,bottom
D48,164.30625,-139.065,90.0,bottom
D49,183.35625,-139.065,90.0,bottom
D5,102.39375,-81.915,90.0,bottom
D50,202.40625,-139.065,90.0,bottom
D51,221.45625,-139.065,90.0,bottom
D52,240.50625,-139.065,90.0,bottom
D53,273.84375,-139.065,90.0,bottom
D54,30.95625,-158.115,90.0,bottom
D55,54.76875,-158.115,90.0,bottom
D56,78.58125,-158.115,90.0,bottom
D57,150.01875,-158.115,90.0,bottom
D58,219.075,-158.115,90.0,bottom
D59,242.8875,-158.115,90.0,bottom
D6,121.44375,-81.915,90.0,bottom
D60,266.7,-158.115,90.0,bottom
D61,290.5125,-158.115,90.0,bottom
D7,140.49375,-81.915,90.0,bottom
D8,159.54375,-81.915,90.0,bottom
D9,178.59375,-81.915,90.0,bottom
U1,304.8,-96.9875,0.0,top
